date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:07	322/322	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:09%20GMT	https://mapitgis.com/blog/tags/App	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/App	(from https://mapitgis.com/blog/ios-launch/)
17:04:07	322/322	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:09%20GMT	https://mapitgis.com/blog/tags/ios	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/ios	(from https://mapitgis.com/blog/ios-launch/)
17:04:08	3342338/3342338	---MCZ	200	added ('OK')	text/html	etag:%22330002-64df873925a97-gzip%22	https://mapitgis.com/blog/3.0.0/	F:/mapitgis/mapitgis/mapitgis.com/blog/3.0.0/index.html	(from https://mapitgis.com/blog/ios-launch/)
17:04:08	338/338	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:10%20GMT	https://mapitgis.com/docs/category/getting-started	F:/mapitgis/mapitgis/mapitgis.com/docs/category/getting-started	(from https://mapitgis.com/docs/intro/)
17:04:09	22329/22329	---M-Z	200	added ('OK')	text/html	etag:%225739-64df873aeb8f5-gzip%22	https://mapitgis.com/docs/category/getting-started/	F:/mapitgis/mapitgis/mapitgis.com/docs/category/getting-started/index.html	(from https://mapitgis.com/docs/intro/)
17:04:09	347/347	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:10%20GMT	https://mapitgis.com/docs/category/data-collection-workflow	F:/mapitgis/mapitgis/mapitgis.com/docs/category/data-collection-workflow	(from https://mapitgis.com/docs/intro/)
17:04:09	22360/22360	---M-Z	200	added ('OK')	text/html	etag:%225758-64df873aeb070-gzip%22	https://mapitgis.com/docs/category/data-collection-workflow/	F:/mapitgis/mapitgis/mapitgis.com/docs/category/data-collection-workflow/index.html	(from https://mapitgis.com/docs/intro/)
17:04:09	3344887/3344887	---MCZ	200	added ('OK')	text/html	etag:%223309f7-64df873925e7f-gzip%22	https://mapitgis.com/blog/tags/App/	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/App/index.html	(from https://mapitgis.com/blog/ios-launch/)
17:04:09	342/342	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:11%20GMT	https://mapitgis.com/docs/category/data-import--export	F:/mapitgis/mapitgis/mapitgis.com/docs/category/data-import--export	(from https://mapitgis.com/docs/intro/)
17:04:09	3340568/3340568	---MCZ	200	added ('OK')	text/html	etag:%2232f918-64df8739256af-gzip%22	https://mapitgis.com/blog/tags/ios/	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/ios/index.html	(from https://mapitgis.com/blog/ios-launch/)
17:04:10	22038/22038	---M-Z	200	added ('OK')	text/html	etag:%225616-64df873aeb8f5-gzip%22	https://mapitgis.com/docs/category/data-import--export/	F:/mapitgis/mapitgis/mapitgis.com/docs/category/data-import--export/index.html	(from https://mapitgis.com/docs/intro/)
17:04:10	335/335	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:11%20GMT	https://mapitgis.com/docs/category/offline-maps	F:/mapitgis/mapitgis/mapitgis.com/docs/category/offline-maps	(from https://mapitgis.com/docs/intro/)
17:04:10	19596/19596	---M-Z	200	added ('OK')	text/html	etag:%224c8c-64df873aeb8f5-gzip%22	https://mapitgis.com/docs/category/offline-maps/	F:/mapitgis/mapitgis/mapitgis.com/docs/category/offline-maps/index.html	(from https://mapitgis.com/docs/intro/)
17:04:10	336/336	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:11%20GMT	https://mapitgis.com/docs/category/external-gnss	F:/mapitgis/mapitgis/mapitgis.com/docs/category/external-gnss	(from https://mapitgis.com/docs/intro/)
17:04:10	24924/24924	---M-Z	200	added ('OK')	text/html	etag:%22615c-64df873aeb8f5-gzip%22	https://mapitgis.com/docs/category/external-gnss/	F:/mapitgis/mapitgis/mapitgis.com/docs/category/external-gnss/index.html	(from https://mapitgis.com/docs/intro/)
17:04:10	342/342	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:12%20GMT	https://mapitgis.com/docs/category/mapit-subscriptions	F:/mapitgis/mapitgis/mapitgis.com/docs/category/mapit-subscriptions	(from https://mapitgis.com/docs/intro/)
17:04:10	18860/18860	---M-Z	200	added ('OK')	text/html	etag:%2249ac-64df873aeb8f5-gzip%22	https://mapitgis.com/docs/category/mapit-subscriptions/	F:/mapitgis/mapitgis/mapitgis.com/docs/category/mapit-subscriptions/index.html	(from https://mapitgis.com/docs/intro/)
17:04:10	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:12%20GMT	https://mapitgis.com/docs/category/faq	F:/mapitgis/mapitgis/mapitgis.com/docs/category/faq	(from https://mapitgis.com/docs/intro/)
17:04:10	21089/21089	---M-Z	200	added ('OK')	text/html	etag:%225261-64df873aeb8f5-gzip%22	https://mapitgis.com/docs/category/faq/	F:/mapitgis/mapitgis/mapitgis.com/docs/category/faq/index.html	(from https://mapitgis.com/docs/intro/)
17:04:11	341/341	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:12%20GMT	https://mapitgis.com/docs/tags/mapit-gis-professional	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/mapit-gis-professional	(from https://mapitgis.com/docs/intro/)
17:04:11	15304/15304	---M-Z	200	added ('OK')	text/html	etag:%223bc8-64df8739df739-gzip%22	https://mapitgis.com/docs/tags/mapit-gis-professional/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/mapit-gis-professional/index.html	(from https://mapitgis.com/docs/intro/)
17:04:11	332/332	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:13%20GMT	https://mapitgis.com/docs/tags/documentation	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/documentation	(from https://mapitgis.com/docs/intro/)
17:04:11	11235/11235	---M-Z	200	added ('OK')	text/html	etag:%222be3-64df87396ac0d-gzip%22	https://mapitgis.com/docs/tags/documentation/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/documentation/index.html	(from https://mapitgis.com/docs/intro/)
17:04:11	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:13%20GMT	https://mapitgis.com/docs/tags/gis-app	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/gis-app	(from https://mapitgis.com/docs/intro/)
17:04:11	11193/11193	---M-Z	200	added ('OK')	text/html	etag:%222bb9-64df8739a78b3-gzip%22	https://mapitgis.com/docs/tags/gis-app/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/gis-app/index.html	(from https://mapitgis.com/docs/intro/)
17:04:12	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:13%20GMT	https://mapitgis.com/docs/tags/android	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/android	(from https://mapitgis.com/docs/intro/)
17:04:12	11671/11671	---M-Z	200	added ('OK')	text/html	etag:%222d97-64df873946606-gzip%22	https://mapitgis.com/docs/tags/android/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/android/index.html	(from https://mapitgis.com/docs/intro/)
17:04:12	329/329	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:13%20GMT	https://mapitgis.com/docs/tags/geospatial	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/geospatial	(from https://mapitgis.com/docs/intro/)
17:04:12	329/329	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:14%20GMT	https://mapitgis.com/docs/tags/mobile-gis	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/mobile-gis	(from https://mapitgis.com/docs/intro/)
17:04:12	11214/11214	---M-Z	200	added ('OK')	text/html	etag:%222bce-64df8739a78b3-gzip%22	https://mapitgis.com/docs/tags/geospatial/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/geospatial/index.html	(from https://mapitgis.com/docs/intro/)
17:04:12	329/329	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:14%20GMT	https://mapitgis.com/docs/tags/user-guide	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/user-guide	(from https://mapitgis.com/docs/intro/)
